,id_1,source_1,id_2,source_2
0,5926,"Oth.plates, etc.of polyurethanes, alveolar",48616,urethane
1,5935,"Plates, etc.of polycarbonates, without sup.n/rein.etc",11641,polycarbonates
2,5940,"Plates, etc.unsatur.polyesters without sup.n/reinforced",39092,polyesters
3,5976,"Other polyether polyols, in primary forms",39106,polyols
4,5997,"Films forcolour photograf.unexpos.12, 24 or 36 exib.rolls",12166,films
5,6010,"Other catalysts, cont.active substance precious metal",10714,catalysts
6,6045,"Chemically modified polyterpenes, with filler, prim.forms",10898,terpenes
7,6049,Disperse dyes and its preparations,7552,dyes
8,6059,Pigments and its preparations,38444,pigments
9,6060,Carotenoids,2298,carotenoids
10,6076,"Prepared additives for cements, mortars or concretes",1371,additives
11,6140,"Chitosan, its salts/derivatives, in primary forms",11399,chitosan
12,6142,"Paint of polytetrafluoroethylene, disper./dissol.aqueous",11670,polytetrafluoroethylene
13,6145,Other paints,2047,paints
14,6148,Prepared driers,7279,driers
15,6152,"Colours in sets, forartistic painting, educat.activit, etc",41163,sets
16,6154,"Grafting putty, resin cements, other mastics",16952,mastic
17,6155,Painters' fillings,11680,filling
18,6170,"Plant-growth regulators, based on maleic hydrazide",33960,maleic hydrazide
19,6176,"Inseticides, rodenticides, fungicides, herbicides, packed for houselhod use",40232,rodenticides
20,6178,"Anti-scaling, anti-rust preparat.or oxidation inhibitors",37640,oxidation
21,6205,Other glue and prepared adhesives,1886,adhesives
22,6207,Alpha-amylase (aspergillus oryzae),9448,aspergillus oryzae
23,6209,Fibronucleases,10846,nucleases
24,6212,Streptodornase,3234,odor
25,6214,Papain,37791,papain
26,6215,Other proteases and its concentrated,19447,protea
27,6216,Lysozyme and its hydrochloride,30446,lysozyme
28,6219,Prepared enzymes with a basis of cellulases,3123,cellulase
29,6220,Prepared enzymes based on transglutaminase,13053,glutaminase
30,6223,"Prepared explosives, other than propellent powders",8962,explosives
31,6224,"Safety fuses/detonating fuses, percussion, deton.caps, etc",40430,safety
32,6226,"Signalling flares, against rain rockets and similars",4106,rocket
33,6566,Other nematocides presented another way,36949,nematocides
34,6235,Mordants prep.forindustry textile/similar indus.,49086,mordants
35,6255,"Polydextrose without fillers, in liquid and pastes",16468,dextrose
36,6321,"Plast.cases, used forputting up discs for laser read.syst",6223,discs
37,6626,"Preparations and charges for fire-extinguishers, grenades, etc.",40213,fire extinguishers
38,6393,Azo dyes,11416,azo dyes
39,6394,Oth.colouring matter organic synthetic and its prepar.,37493,organic matter
40,6400,"Other papers forcolour photography, sensitised unexposed",38308,photography
41,6402,"Ot.paper, cards and textiles, sens.unexposed",42575,textiles
42,6413,"Chemical elements doped of silicon, foruse in electronics",8569,electronics
43,6415,"Liquids forhydraulic brakes, etc.with petr.oils<=70%",704,brakes
44,6416,Anti-freezing preparations and prepared de-icing fluids,10712,eez
45,6417,Prepar.culture media for development of micro-organisms,17047,development
46,6445,Ot.synt.org.prod.used as fluorescent brightening agents,3236,scent
47,6448,"Rutile pigments particle size of>=0.6 microns, c/modif.",41333,size
48,6455,"Other terpenic essences of wood fabrication, paper",5549,fabrication
49,6480,"Oth.interm.produc.of manuf.antibiotic, vitamin, etc.",40190,vitamin c
50,6516,"Insecticide based on acephate/""bacillus thuringiensis""",42408,bacillus
51,6522,Insecticide based on mineral oils,34598,mineral oils
52,6544,"Essential oil, of geranium",16070,geranium
53,7107,"Acaricides based on amitraz, chlorfenvinfos, metamid., etc",37899,acaricides
54,7108,"Acaricides based on cyhexatin, fenbutatin oxide, etc.",38092,acari
